,strategy,factor,CAGR,daily_sharpe,max_drawdown,avg_drawdown,win_ratio,ytd,MA,std
150,p_20_0_1_v_5_0_4,建材營造&ps,0.06455179701787639,48.03,-0.29816430626243995,-0.05937543881916091,0.48770491803278687,0.0,20,0.4
151,p_20_0_1_v_5_0_5,建材營造&ps,0.06585581185064915,47.72,-0.27178457411772217,-0.05595829674806066,0.48360655737704916,0.0,20,0.5
152,p_20_0_1_v_5_0_6,建材營造&ps,0.06175153057672911,49.64,-0.27178457411772217,-0.06266816877314883,0.4816326530612245,0.0,20,0.6
153,p_20_0_1_v_5_0_7,建材營造&ps,0.06175153057672911,49.64,-0.27178457411772217,-0.06266816877314883,0.4816326530612245,0.0,20,0.7
154,p_20_0_1_v_5_0_8,建材營造&ps,0.0626781741138227,48.77,-0.27178457411772217,-0.06388964908213753,0.4854771784232365,0.0,20,0.8
155,p_40_0_1_v_5_0_4,建材營造&ps,0.06298274562836226,47.89,-0.3012187871215227,-0.058184838218756856,0.4956521739130435,0.0,40,0.4
156,p_40_0_1_v_5_0_5,建材營造&ps,0.0670219535739025,45.91,-0.2718943637648761,-0.054341487396659095,0.49130434782608695,0.0,40,0.5
157,p_40_0_1_v_5_0_6,建材營造&ps,0.0629131818486619,47.64,-0.2718943637648761,-0.061185045999478,0.48917748917748916,0.0,40,0.6
158,p_40_0_1_v_5_0_7,建材營造&ps,0.06735681839183383,46.61,-0.27189436376487586,-0.06025567460570639,0.4935064935064935,0.0,40,0.7
159,p_40_0_1_v_5_0_8,建材營造&ps,0.06655532205049264,47.52,-0.27189436376487586,-0.06029827514817182,0.4899598393574297,0.0,40,0.8
160,p_60_0_1_v_5_0_4,建材營造&ps,0.05691995923707127,50.87,-0.2798224366218711,-0.06369525691814004,0.4936708860759494,0.0,60,0.4
161,p_60_0_1_v_5_0_5,建材營造&ps,0.06346543795704518,47.74,-0.27189436376487597,-0.06337010055569973,0.4915254237288136,0.0,60,0.5
162,p_60_0_1_v_5_0_6,建材營造&ps,0.061627339788074,48.23,-0.3012187871215227,-0.06796537445067231,0.4892703862660944,0.0,60,0.6
163,p_60_0_1_v_5_0_7,建材營造&ps,0.0673809406099346,46.69,-0.3012187871215225,-0.06660293492721525,0.4978540772532189,0.0,60,0.7
164,p_60_0_1_v_5_0_8,建材營造&ps,0.06648790896381462,47.44,-0.3012187871215225,-0.0654152127505848,0.4978902953586498,0.0,60,0.8
165,p_80_0_1_v_5_0_4,建材營造&ps,0.05896552919923903,50.25,-0.27687781646221343,-0.0679263771039816,0.4933920704845815,0.0,80,0.4
166,p_80_0_1_v_5_0_5,建材營造&ps,0.05982494676587602,48.9,-0.2768778164622132,-0.06996990870333827,0.4889867841409692,0.0,80,0.5
167,p_80_0_1_v_5_0_6,建材營造&ps,0.059027046567704744,49.11,-0.3012187871215225,-0.07197051164535319,0.4868421052631579,0.0,80,0.6
168,p_80_0_1_v_5_0_7,建材營造&ps,0.06795940547227652,46.85,-0.3012187871215225,-0.06807030567318438,0.4956521739130435,0.0,80,0.7
169,p_80_0_1_v_5_0_8,建材營造&ps,0.06882273658982974,46.24,-0.3012187871215225,-0.06760804739100228,0.5022026431718062,0.0,80,0.8
170,p_100_0_1_v_5_0_4,建材營造&ps,0.05638723950203128,49.85,-0.24952485043374895,-0.06117940899048655,0.49222797927461137,0.0,100,0.4
171,p_100_0_1_v_5_0_5,建材營造&ps,0.05675130923155525,48.58,-0.27189436376487575,-0.06772220214084569,0.4824120603015075,0.0,100,0.5
172,p_100_0_1_v_5_0_6,建材營造&ps,0.06068328988746696,47.47,-0.3012187871215226,-0.07151647910894143,0.48826291079812206,0.0,100,0.6
173,p_100_0_1_v_5_0_7,建材營造&ps,0.07492792412616511,44.88,-0.3012187871215224,-0.06418475832681557,0.5,0.0,100,0.7
174,p_100_0_1_v_5_0_8,建材營造&ps,0.07559726745842621,44.43,-0.3012187871215224,-0.06331027558764028,0.5,0.0,100,0.8
175,p_20_0_1_v_5_0_4,半導體&p_ic,0.00868185490364115,129.11,-0.3620162951688798,-0.16746542964385555,0.43213296398891965,0.0,20,0.4
